date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2023-12-18,2545,33387,17,0.07622727408871717,0.13355842754562045
2023-12-19,3313,31271,27,0.10594480509097887,0.13564078133367938
2023-12-20,5048,28861,44,0.1749073143688715,0.14187210981557521
2023-12-21,4530,18605,47,0.24348293469497448,0.15051965092898775
2023-12-22,4258,12487,52,0.3409946344197966,0.17008976001586432
2023-12-23,3499,12439,44,0.2812927084170753,0.18626179217753386
2023-12-24,3329,15722,45,0.21174150871390407,0.204941597113474
2023-12-25,2279,24389,58,0.09344376563204723,0.2074010959053783
2023-12-26,2256,21523,52,0.10481810156576686,0.20724013825891943
2023-12-27,3022,19230,48,0.15715028601144046,0.20470341992214358
2023-12-28,3425,14140,57,0.24222065063649223,0.20452309362807466
2023-12-29,3484,10325,51,0.3374334140435835,0.20401434786004424
2023-12-30,2803,11046,58,0.2537570161144306,0.20008067753109499
2023-12-31,2317,15975,49,0.14503912363067292,0.1905517653763477
2024-01-01,1956,21549,47,0.09076987331198663,0.1901697807591962
2024-01-02,1860,17578,56,0.1058140857890545,0.19031206421966584
2024-01-03,2543,15281,55,0.1664158104836071,0.1916357105728325
2024-01-04,3269,9736,57,0.33576417419884963,0.20499907108174067
2024-01-05,2981,7931,43,0.37586685159500693,0.21048956216051545
2024-01-06,2330,10081,37,0.23112786429917667,0.2072568261869078
2024-01-07,2203,14703,31,0.14983336733999864,0.20794171814538287
2024-01-08,1466,11537,30,0.12706942879431396,0.21312736892857245
2024-01-09,1725,10550,34,0.16350710900473933,0.22136922938795606
2024-01-10,1940,9176,31,0.21142109851787272,0.22779855624999398
2024-01-11,2037,7879,43,0.2585353471252697,0.216765866668054
2024-01-12,1705,5399,29,0.31579922207816263,0.20818477673707622
2024-01-13,1355,6486,27,0.20891150169596054,0.2050110106509025
2024-01-14,1326,10141,30,0.13075633566709396,0.20228572041191614
2024-01-15,962,7902,27,0.12174133130852949,0.2015245636282326
2024-01-16,1440,7188,28,0.2003338898163606,0.2067855323156071
2024-01-17,1535,6577,23,0.23338908316861792,0.20992381583714212
2024-01-18,1149,4949,21,0.23216811477066074,0.20615706835791223
2024-01-19,1089,4322,16,0.25196668209162426,0.1970381340741211
2024-01-20,857,4475,17,0.19150837988826816,0.19455197381587933
2024-01-21,686,6658,16,0.10303394412736558,0.19059163216734668
2024-01-22,628,5437,17,0.11550487401140334,0.18970070969632866
2024-01-23,772,4318,14,0.17878647522000926,0.1866225076111356
2024-01-24,852,3518,14,0.24218305855599773,0.18787878980933273
2024-01-25,733,3996,14,0.18343343343343343,0.18091669247544312
2024-01-26,518,3052,15,0.16972477064220184,0.16916784798266846
2024-01-27,411,3515,11,0.11692745376955903,0.15851342996571002
2024-01-28,482,3553,10,0.13566000562904587,0.1631742958945215
2024-01-29,335,3048,11,0.10990813648293964,0.16237476196188383
2024-01-30,407,3809,15,0.10685219217642426,0.15209843581280028
2024-01-31,461,3346,14,0.13777644949193066,0.13718320594650496
2024-02-01,412,2787,10,0.1478292070326516,0.1320968878892504
2024-02-02,263,2172,10,0.1210865561694291,0.12514857153599718
2024-02-03,190,2667,9,0.0712410948631421,0.11862194883508045
2024-02-04,211,3873,9,0.05447973147430932,0.10702476681297524
2024-02-05,224,3381,12,0.06625258799171843,0.10078825988565791
2024-02-06,241,2761,10,0.08728721477725462,0.09799326311434797
2024-02-07,261,2476,8,0.10541195476575121,0.09336976386775091
2024-02-08,181,2057,3,0.08799222168206125,0.08482162310338086
2024-02-09,191,1596,5,0.11967418546365914,0.08461985585969944
2024-02-10,170,1273,4,0.1335428122545169,0.09352010120132441
2024-02-11,100,2166,6,0.046168051708217916,0.09233271837759707
2024-02-12,63,2555,7,0.024657534246575342,0.08639056784257662
2024-02-13,104,4118,3,0.02525497814473045,0.07752881975221604
2024-02-14,145,3061,2,0.04737014047696831,0.06923713199667561
2024-02-15,111,2274,3,0.048812664907651716,0.06364005245747426
2024-02-16,125,1697,3,0.07365939893930465,0.0570665115254236
2024-02-17,142,2114,3,0.06717123935666983,0.0475848582543026
2024-02-18,158,3053,3,0.05175237471339666,0.048382618683613855
2024-02-19,112,2552,5,0.0438871473354232,0.05112970626773498
2024-02-20,135,2429,5,0.05557842733635241,0.055461627580823826
2024-02-21,131,2708,1,0.0483751846381093,0.05560520531812968
